name,Paper Soldier (feat. Joony),Happier Than Ever,Asiwaju,Bad Bad Bad (feat. Lil Baby),Stronger,Essence (feat. Tems),lost souls (with Brent Faiyaz),"Frat Rules (feat. A$AP Rocky, Playboi Carti & Big Sean)",Hallelujah (feat. Morgan Heritage),"III. Telegraph Ave. (""Oakland"" by Lloyd)",Sunbathe,Massive,Insecure,Dear Ex,Komasava (Comment Ça Va),imperfect for you,Rush,Guess featuring billie eilish,Demons,I'm Gonna Miss You,Video Games,Please Please Please,Vienna,Perfect (Exceeder) - Martijn Ten Velden Vocal Remix,Kiwi,Rehab (Winter In Paris),Good Days,Ex-Factor,He Loves Me (Lyzel in E Flat),Rehab (Winter In Paris),Garden Kisses,Gang Over Luv,In Love
Video Games,-0.7333416914745771,0.9844269616393831,-0.5809485055507618,-0.7328046157752885,-0.05935112188191306,-0.6878025021107224,-0.028505804063104594,-0.06769531006071738,0.20993959348996305,-0.11243045717012728,0.16608504901611876,0.4203690201491424,-0.7577704506133649,-0.644050545533836,-0.792019900805455,0.10802800324876571,-0.6255404155625858,-0.9535359283062789,-0.31465984281417736,0.19390316212869804,1.0,-0.28383003079911245,0.6771294380773161,-0.7706241740149647,-0.08745025424534436,0.4049286523053039,0.48220544327697784,0.19462791478842786,0.6699124296313569,0.4049286523053039,0.8422974250742888,-0.24734107827556767,0.44951073720008594
Please Please Please,-0.31348560652616975,-0.22432327699710494,0.8604235303447055,0.7694684624700812,0.6159894068607003,0.7631509778654525,-0.9111259005359124,-0.5158314145089407,0.731663120347313,0.2025966095744757,0.674490258374699,-0.7398101513977132,-0.16454087499826683,0.8819865459391426,0.7782576533031107,-0.9356086094474279,0.09665216892614155,0.5147972342025827,-0.5147741411290766,0.6644928505335601,-0.28383003079911245,0.9999999999999999,-0.8644061420667899,0.41332737264422353,-0.11873304846176215,-0.8202333737680367,-0.2544454850188634,0.8748173292763892,-0.32576868689957406,-0.8202333737680367,-0.613547758710002,-0.6744578918199428,0.2185265570420622
Vienna,-0.053851376699686856,0.6044981968399121,-0.9843673239935964,-0.975219344409143,-0.3642439312521396,-0.9283737941045908,0.6209045550473268,0.42285382170550284,-0.3440320797740415,0.009859906163037637,-0.5108798787611356,0.8099089964660493,-0.17114570769001297,-0.9611443741227288,-0.9206842656016858,0.6962860603930131,-0.27803321704303186,-0.7904671284849146,0.07175256832736443,-0.5126837468633173,0.6771294380773161,-0.8644061420667899,1.0000000000000002,-0.5370902057704724,0.26540317633500976,0.7387152918464893,0.6057445244540945,-0.5226145790106365,0.3898113616207379,0.7387152918464893,0.852487079370279,0.2770965665415208,-0.08535195229712197
Perfect (Exceeder) - Martijn Ten Velden Vocal Remix,0.548196882403674,-0.8300847377733891,0.3815229338858839,0.4761806076586871,0.5833213269004822,0.6045891296352316,-0.30393176388482246,0.2906273730705737,0.30675696078770115,0.6041925102976993,-0.12092722190289544,-0.16010669797724192,0.5781336539427695,0.5631565660805548,0.8154415044228853,-0.42628994738467535,0.8230150031732746,0.8837739591062546,-0.30649794456774143,-0.36835956402353404,-0.7706241740149647,0.41332737264422353,-0.5370902057704724,0.9999999999999999,0.6098482704953267,-0.692769492591713,0.10989408318385166,0.1305235177806367,-0.9547395412355308,-0.692769492591713,-0.7833988881562388,-0.2966822955502246,-0.5082091769365884
Kiwi,0.3926636578100463,-0.20038271450402187,-0.42135935933610974,-0.3363649235256145,0.4555543172208537,-0.21001145338490382,-0.011876742444868065,0.48520158271543773,0.28726744642212126,0.889492183212634,-0.5127741695347683,0.415088241241925,0.3765581609051453,-0.13011377541970826,0.08485744227849104,-0.05637050142542467,0.4962958673384302,0.19745040138183434,-0.5750247458131746,-0.6727749615661395,-0.08745025424534436,-0.11873304846176215,0.26540317633500976,0.6098482704953267,1.0000000000000002,-0.18614225954642094,0.8304100202864594,-0.04323197296089993,-0.7515565921572135,-0.18614225954642094,-0.005769755377264878,-0.32778925674133985,-0.6534731882299664
Rehab (Winter In Paris),0.18916079743515676,0.4449301949391742,-0.6749047054695272,-0.5775282372986554,-0.8900818984865944,-0.8441477576368146,0.8467403973923394,-0.06619365282423652,-0.7757023715851205,-0.26377823131273037,-0.6210058722063707,0.30224513128545716,0.13106579058980855,-0.6731781443476993,-0.8532029155469929,0.9057789663554289,-0.6109208363339228,-0.6358375703318401,0.5511829215062144,-0.18127735011695734,0.4049286523053039,-0.8202333737680367,0.7387152918464893,-0.692769492591713,-0.18614225954642094,1.0,0.05025773040703502,-0.7055137419800765,0.5325332237593867,1.0,0.801898084367636,0.7550971760740994,-0.2110321794706132
Good Days,-0.07300887890305967,0.3731053242325732,-0.6891819843486838,-0.7022333977314835,0.38010446518180463,-0.5597794413765756,-0.03793635755871018,0.39264468064626223,0.38137426636328914,0.7183370158816209,-0.3459799514986939,0.600717935796101,-0.1009900675008939,-0.47053974513339786,-0.3608994514793266,-0.0007908157060133446,0.09388997915338404,-0.35647309634558383,-0.6888744112018491,-0.48070166259592123,0.48220544327697784,-0.2544454850188634,0.6057445244540945,0.10989408318385166,0.8304100202864594,0.05025773040703502,1.0000000000000002,0.08065972564467414,-0.28772029523012366,0.05025773040703502,0.4580655593291891,-0.438026535918806,-0.31404034051680335
Ex-Factor,-0.6664198293393134,0.22395487104946943,0.5465643032681738,0.3755861655119781,0.7062235522356259,0.4492688555327171,-0.9738885951066807,-0.4465823622118302,0.917817087232065,0.2349246046341856,0.7561981692085304,-0.45933432907557814,-0.5377239795509483,0.5545907908619497,0.43213379117432366,-0.9377326213684146,-0.0983355303909915,0.08377909709525443,-0.7626036819307185,0.6736573916595138,0.19462791478842786,0.8748173292763892,-0.5226145790106365,0.1305235177806367,-0.04323197296089993,-0.7055137419800765,0.08065972564467414,0.9999999999999998,-0.0884053350194224,-0.7055137419800765,-0.24415841150289594,-0.8859861398248073,0.41697078172187657
He Loves Me (Lyzel in E Flat),-0.619869697947244,0.7198571805984337,-0.22349088660975489,-0.3536344505005273,-0.48830470438730317,-0.38321966654243345,0.2156000733486125,-0.20469866286193594,-0.2706340092976337,-0.7920286676462974,0.32564247230310056,0.15027959436343083,-0.6696498773819712,-0.49368676846009435,-0.6748602127321961,0.3262756214186383,-0.6758161712312744,-0.7835197237071481,0.3870926001134138,0.4012938344833273,0.6699124296313569,-0.32576868689957406,0.3898113616207379,-0.9547395412355308,-0.7515565921572135,0.5325332237593867,-0.28772029523012366,-0.0884053350194224,1.0,0.5325332237593867,0.5852866067147298,0.26242436987746237,0.705584605329555
Rehab (Winter In Paris),0.18916079743515676,0.4449301949391742,-0.6749047054695272,-0.5775282372986554,-0.8900818984865944,-0.8441477576368146,0.8467403973923394,-0.06619365282423652,-0.7757023715851205,-0.26377823131273037,-0.6210058722063707,0.30224513128545716,0.13106579058980855,-0.6731781443476993,-0.8532029155469929,0.9057789663554289,-0.6109208363339228,-0.6358375703318401,0.5511829215062144,-0.18127735011695734,0.4049286523053039,-0.8202333737680367,0.7387152918464893,-0.692769492591713,-0.18614225954642094,1.0,0.05025773040703502,-0.7055137419800765,0.5325332237593867,1.0,0.801898084367636,0.7550971760740994,-0.2110321794706132
Garden Kisses,-0.2834599388872145,0.8528193654061144,-0.7791971953863426,-0.797430028677,-0.4924998595262451,-0.9524357646756136,0.43553707431706956,-0.10372962352963588,-0.24960659777641805,-0.0329055325285588,-0.3444758217495153,0.41562366328931455,-0.31344268674144576,-0.7471917788112431,-0.9545916238683244,0.5495569666727455,-0.7281172423018685,-0.9179670206806857,-0.003999781155710358,-0.020666402623813897,0.8422974250742888,-0.613547758710002,0.852487079370279,-0.7833988881562388,-0.005769755377264878,0.801898084367636,0.4580655593291891,-0.24415841150289594,0.5852866067147298,0.801898084367636,0.9999999999999997,0.21479572124981347,0.014334601089126795
Gang Over Luv,0.5928647036997539,-0.194888277271904,-0.24781958609397378,-0.07685312673705924,-0.9154424402765379,-0.32897256230890337,0.9055049122142048,0.018001813638820276,-0.9965020502140403,-0.4351017037687361,-0.6087616515137566,0.05265653085803877,0.5256406503521517,-0.29700951440987144,-0.3581753686102721,0.879357807772111,-0.20061878280475698,-0.05014682369707694,0.921282483243815,-0.26667626925166593,-0.24734107827556767,-0.6744578918199428,0.2770965665415208,-0.2966822955502246,-0.32778925674133985,0.7550971760740994,-0.438026535918806,-0.8859861398248073,0.26242436987746237,0.7550971760740994,0.21479572124981347,0.9999999999999999,-0.3190309935882839
In Love,-0.8572790815174159,0.4498755314037763,0.21545643580695995,-0.0188198660378191,0.2066564905066491,0.23062407188825812,-0.40461444398967605,-0.03626464012819358,0.3155344587122545,-0.703196644657188,0.8639234299592409,0.0578413063498219,-0.8935223895954757,-0.10934599013416907,-0.10698838678980771,-0.3284516106086858,-0.18284598087274784,-0.3979928654864282,-0.0008067992301289406,0.4912346826064151,0.44951073720008594,0.2185265570420622,-0.08535195229712197,-0.5082091769365884,-0.6534731882299664,-0.2110321794706132,-0.31404034051680335,0.41697078172187657,0.705584605329555,-0.2110321794706132,0.014334601089126795,-0.3190309935882839,0.9999999999999999
